date,tariff_rate,global_cpo_price_usd,import_volume_mt,domestic_production_mt,farmer_price_inr,consumer_price_inr,import_dependency_pct,cultivation_area_mha
2014-01-01,100.0,619.87,0.3836,0.1413,63.85,85.59,73.08,0.4511
2014-02-01,100.0,627.66,0.4748,0.1006,67.16,94.62,82.51,0.4496
2014-03-01,100.0,684.25,0.4898,0.1188,67.98,96.83,80.48,0.4475
2014-04-01,100.0,730.5,0.5252,0.1264,62.4,94.27,80.6,0.4523
2014-05-01,100.0,655.36,0.4092,0.1235,63.46,91.65,76.82,0.4502
2014-06-01,100.0,636.59,0.4013,0.1146,61.72,87.67,77.79,0.456
2014-07-01,100.0,682.32,0.5026,0.1189,65.32,95.67,80.87,0.4512
2014-08-01,100.0,623.04,0.4795,0.1162,67.22,89.11,80.49,0.4515
2014-09-01,100.0,554.79,0.4635,0.1154,68.7,98.46,80.06,0.449
2014-10-01,100.0,590.43,0.4754,0.13,65.89,96.27,78.53,0.4506
2014-11-01,100.0,561.42,0.4183,0.1252,68.96,93.67,76.96,0.4525
2014-12-01,100.0,586.48,0.4689,0.1149,62.98,93.45,80.32,0.4425
2015-01-01,100.0,647.98,0.4842,0.131,62.41,90.27,78.71,0.4445
2015-02-01,100.0,594.96,0.4233,0.1252,65.64,92.37,77.17,0.455
2015-03-01,100.0,627.65,0.5588,0.1305,66.56,96.75,81.07,0.4523
2015-04-01,100.0,685.38,0.5008,0.1288,65.8,100.64,79.54,0.4506
2015-05-01,100.0,662.51,0.4129,0.1144,61.7,88.84,78.31,0.4517
2015-06-01,100.0,696.83,0.5122,0.1172,65.7,94.44,81.37,0.4534
2015-07-01,100.0,621.13,0.4155,0.1305,63.17,88.91,76.1,0.4491
2015-08-01,100.0,574.15,0.4942,0.1293,67.06,92.99,79.27,0.448
2015-09-01,100.0,670.49,0.532,0.1231,66.58,97.37,81.21,0.453
2015-10-01,100.0,597.99,0.4186,0.1247,63.87,88.66,77.05,0.4472
2015-11-01,100.0,620.95,0.5124,0.1364,64.75,92.63,78.97,0.4542
2015-12-01,100.0,586.41,0.4779,0.1179,63.62,89.45,80.21,0.4438
2016-01-01,7.5,654.82,0.7896,0.1295,42.57,63.91,85.91,0.365
2016-02-01,7.5,714.22,0.8552,0.1221,44.69,66.33,87.5,0.3624
2016-03-01,7.5,688.9,0.743,0.1222,40.77,63.15,85.88,0.3614
